60 30 2340
 1  1 -1.153E+00  1.000E+00
 1  3 -2.166E-12 -4.640E-13
 1  5 -7.775E-01  5.654E-01
 1  6 -7.787E-01  5.662E-01
 1  7 -5.671E-01  3.373E-01
 1  8  2.075E-01 -1.469E-01
 1  9 -4.743E-01  3.356E-01
 1 10  2.304E-01 -1.631E-01
 1 11 -2.425E-01  1.323E-01
 1 12 -2.434E-01  1.329E-01
 1 13 -1.166E-01  5.220E-02
 1 15  1.750E-01 -9.231E-02
 1 17 -7.195E-02  3.556E-02
 1 18 -7.207E-02  3.560E-02
 1 19 -5.671E-01  3.373E-01
 1 20  2.075E-01 -1.469E-01
 1 21  4.743E-01 -3.356E-01
 1 22  2.304E-01 -1.631E-01
 1 23 -2.425E-01  1.323E-01
 1 24 -2.434E-01  1.329E-01
 1 25  5.348E-06  2.002E-10
 1 27 -1.453E-05 -6.624E-10
 1 31 -3.998E-03  7.288E-04
 1 32  1.240E-03 -2.462E-04
 1 33  8.622E-03 -1.688E-03
 1 34  1.377E-03 -2.733E-04
 1 35 -1.984E-03  2.632E-04
 1 36 -1.993E-03  2.649E-04
 1 37  5.348E-06  2.002E-10
 1 39  1.453E-05  6.624E-10
 1 49 -1.166E-01  5.220E-02
 1 51 -1.750E-01  9.231E-02
 1 53 -7.195E-02  3.556E-02
 1 54 -7.207E-02  3.560E-02
 1 55 -3.998E-03  7.288E-04
 1 56  1.240E-03 -2.462E-04
 1 57 -8.622E-03  1.688E-03
 1 58  1.377E-03 -2.733E-04
 1 59 -1.984E-03  2.632E-04
 1 60 -1.993E-03  2.649E-04
 2  2 -5.327E-01  1.000E+00
 2  5 -9.799E-02  9.252E-02
 2  6  4.801E-01 -4.907E-01
 2  7 -2.075E-01  1.469E-01
 2  8 -1.794E-01  1.531E-01
 2  9 -1.865E-01  1.701E-01
 2 10  8.695E-02 -8.265E-02
 2 11 -6.556E-02  3.208E-02
 2 12 -2.054E-01  1.506E-01
 2 14 -4.739E-02  2.724E-02
 2 17 -1.095E-02  4.769E-03
 2 18  3.173E-02 -2.528E-02
 2 19 -2.075E-01  1.469E-01
 2 20 -1.794E-01  1.531E-01
 2 21  1.865E-01 -1.701E-01
 2 22  8.695E-02 -8.265E-02
 2 23 -6.556E-02  3.208E-02
 2 24 -2.054E-01  1.506E-01
 2 26  7.552E-08  3.444E-10
 2 31 -1.240E-03  2.462E-04
 2 32 -9.255E-04  1.287E-04
 2 33  2.783E-03 -5.985E-04
 2 34  4.382E-04 -9.692E-05
 2 35 -4.451E-04  5.456E-05
 2 36 -1.805E-03  2.567E-04
 2 38  7.552E-08  3.444E-10
 2 50 -4.739E-02  2.724E-02
 2 53 -1.095E-02  4.769E-03
 2 54  3.173E-02 -2.528E-02
 2 55 -1.240E-03  2.462E-04
 2 56 -9.255E-04  1.287E-04
 2 57 -2.783E-03  5.985E-04
 2 58  4.382E-04 -9.692E-05
 2 59 -4.451E-04  5.456E-05
 2 60 -1.805E-03  2.567E-04
 3  1 -1.241E-12  4.640E-13
 3  3 -5.874E-01  1.000E+00
 3  7  4.743E-01 -3.356E-01
 3  8 -1.865E-01  1.701E-01
 3  9  1.594E-01 -1.612E-01
 3 10 -2.072E-01  1.889E-01
 3 11  1.965E-01 -1.161E-01
 3 12  1.971E-01 -1.166E-01
 3 13 -1.750E-01  9.231E-02
